
x=0, y=0, width=20, height=20, color=[62, 129, 237]
x=0, y=21, width=20, height=20, color=[62, 129, 237]
x=0, y=42, width=20, height=20, color=[62, 129, 237]
x=0, y=63, width=20, height=20, color=[62, 237, 106]
x=0, y=84, width=20, height=20, color=[62, 129, 237]
x=0, y=105, width=20, height=20, color=[237, 173, 62]
x=0, y=126, width=20, height=20, color=[62, 237, 106]
x=0, y=147, width=20, height=20, color=[62, 237, 106]
x=0, y=168, width=20, height=20, color=[237, 173, 62]
x=0, y=189, width=20, height=20, color=[62, 129, 237]
x=0, y=210, width=20, height=20, color=[62, 129, 237]
x=0, y=231, width=20, height=20, color=[62, 129, 237]
x=0, y=252, width=20, height=20, color=[62, 129, 237]
x=0, y=273, width=20, height=20, color=[62, 129, 237]
x=0, y=294, width=20, height=20, color=[237, 173, 62]
x=0, y=315, width=20, height=20, color=[62, 129, 237]
x=0, y=336, width=20, height=20, color=[237, 173, 62]
x=0, y=357, width=20, height=20, color=[62, 129, 237]
x=0, y=378, width=20, height=20, color=[237, 173, 62]
x=0, y=399, width=20, height=20, color=[62, 237, 106]
x=0, y=420, width=20, height=20, color=[237, 173, 62]
x=0, y=441, width=20, height=20, color=[237, 173, 62]
x=0, y=462, width=20, height=20, color=[62, 237, 106]
x=0, y=483, width=20, height=20, color=[62, 129, 237]
x=0, y=504, width=20, height=20, color=[62, 129, 237]
x=0, y=525, width=20, height=20, color=[62, 237, 106]
x=0, y=546, width=20, height=20, color=[62, 237, 106]
x=0, y=567, width=20, height=20, color=[62, 237, 106]
x=0, y=588, width=20, height=20, color=[237, 173, 62]
x=0, y=609, width=20, height=20, color=[62, 237, 106]
x=0, y=630, width=20, height=20, color=[62, 129, 237]
x=0, y=651, width=20, height=20, color=[62, 237, 106]
x=0, y=672, width=20, height=20, color=[237, 173, 62]
x=0, y=693, width=20, height=20, color=[62, 237, 106]
x=0, y=714, width=20, height=20, color=[237, 173, 62]
x=0, y=735, width=20, height=20, color=[62, 237, 106]
x=0, y=756, width=20, height=20, color=[62, 129, 237]
x=0, y=777, width=20, height=20, color=[237, 173, 62]
x=0, y=798, width=20, height=20, color=[62, 129, 237]
x=0, y=819, width=20, height=20, color=[237, 173, 62]
x=0, y=840, width=20, height=20, color=[62, 129, 237]
x=0, y=861, width=20, height=20, color=[237, 173, 62]
x=21, y=0, width=20, height=20, color=[62, 237, 106]
x=21, y=21, width=20, height=20, color=[237, 173, 62]
x=21, y=42, width=20, height=20, color=[62, 237, 106]
x=21, y=63, width=20, height=20, color=[62, 237, 106]
x=21, y=84, width=20, height=20, color=[237, 173, 62]
x=21, y=105, width=20, height=20, color=[237, 173, 62]
x=21, y=126, width=20, height=20, color=[62, 237, 106]
x=21, y=147, width=20, height=20, color=[62, 237, 106]
x=21, y=168, width=20, height=20, color=[237, 173, 62]
x=21, y=189, width=20, height=20, color=[62, 129, 237]
x=21, y=210, width=20, height=20, color=[237, 173, 62]
x=21, y=231, width=20, height=20, color=[62, 237, 106]
x=21, y=252, width=20, height=20, color=[62, 129, 237]
x=21, y=273, width=20, height=20, color=[62, 237, 106]
x=21, y=294, width=20, height=20, color=[237, 173, 62]
x=21, y=315, width=20, height=20, color=[237, 173, 62]
x=21, y=336, width=20, height=20, color=[62, 129, 237]
x=21, y=357, width=20, height=20, color=[62, 237, 106]
x=21, y=378, width=20, height=20, color=[62, 129, 237]
x=21, y=399, width=20, height=20, color=[62, 237, 106]
x=21, y=420, width=20, height=20, color=[62, 129, 237]
x=21, y=441, width=20, height=20, color=[62, 129, 237]
x=21, y=462, width=20, height=20, color=[237, 173, 62]
x=21, y=483, width=20, height=20, color=[62, 129, 237]
x=21, y=504, width=20, height=20, color=[62, 129, 237]
x=21, y=525, width=20, height=20, color=[62, 129, 237]
x=21, y=546, width=20, height=20, color=[62, 129, 237]
x=21, y=567, width=20, height=20, color=[62, 129, 237]
x=21, y=588, width=20, height=20, color=[62, 237, 106]
x=21, y=609, width=20, height=20, color=[62, 129, 237]
x=21, y=630, width=20, height=20, color=[62, 129, 237]
x=21, y=651, width=20, height=20, color=[62, 237, 106]
x=21, y=672, width=20, height=20, color=[62, 129, 237]
x=21, y=693, width=20, height=20, color=[237, 173, 62]
x=21, y=714, width=20, height=20, color=[237, 173, 62]
x=21, y=735, width=20, height=20, color=[237, 173, 62]
x=21, y=756, width=20, height=20, color=[62, 129, 237]
x=21, y=777, width=20, height=20, color=[62, 237, 106]
x=21, y=798, width=20, height=20, color=[62, 237, 106]
x=21, y=819, width=20, height=20, color=[62, 129, 237]
x=21, y=840, width=20, height=20, color=[62, 237, 106]
x=21, y=861, width=20, height=20, color=[62, 129, 237]
x=42, y=0, width=20, height=20, color=[62, 129, 237]
x=42, y=21, width=20, height=20, color=[237, 173, 62]
x=42, y=42, width=20, height=20, color=[62, 129, 237]
x=42, y=63, width=20, height=20, color=[62, 129, 237]
x=42, y=84, width=20, height=20, color=[62, 129, 237]
x=42, y=105, width=20, height=20, color=[62, 237, 106]
x=42, y=126, width=20, height=20, color=[237, 173, 62]
x=42, y=147, width=20, height=20, color=[62, 237, 106]
x=42, y=168, width=20, height=20, color=[62, 237, 106]
x=42, y=189, width=20, height=20, color=[237, 173, 62]
x=42, y=210, width=20, height=20, color=[237, 173, 62]
x=42, y=231, width=20, height=20, color=[237, 173, 62]
x=42, y=252, width=20, height=20, color=[62, 129, 237]
x=42, y=273, width=20, height=20, color=[62, 129, 237]
x=42, y=294, width=20, height=20, color=[62, 129, 237]
x=42, y=315, width=20, height=20, color=[62, 129, 237]
x=42, y=336, width=20, height=20, color=[237, 173, 62]
x=42, y=357, width=20, height=20, color=[237, 173, 62]
x=42, y=378, width=20, height=20, color=[62, 129, 237]
x=42, y=399, width=20, height=20, color=[62, 237, 106]
x=42, y=420, width=20, height=20, color=[237, 173, 62]
x=42, y=441, width=20, height=20, color=[237, 173, 62]
x=42, y=462, width=20, height=20, color=[237, 173, 62]
x=42, y=483, width=20, height=20, color=[62, 237, 106]
x=42, y=504, width=20, height=20, color=[237, 173, 62]
x=42, y=525, width=20, height=20, color=[237, 173, 62]
x=42, y=546, width=20, height=20, color=[62, 237, 106]
x=42, y=567, width=20, height=20, color=[62, 129, 237]
x=42, y=588, width=20, height=20, color=[237, 173, 62]
x=42, y=609, width=20, height=20, color=[62, 129, 237]
x=42, y=630, width=20, height=20, color=[62, 237, 106]
x=42, y=651, width=20, height=20, color=[237, 173, 62]
x=42, y=672, width=20, height=20, color=[237, 173, 62]
x=42, y=693, width=20, height=20, color=[237, 173, 62]
x=42, y=714, width=20, height=20, color=[237, 173, 62]
x=42, y=735, width=20, height=20, color=[62, 237, 106]
x=42, y=756, width=20, height=20, color=[62, 129, 237]
x=42, y=777, width=20, height=20, color=[62, 237, 106]
x=42, y=798, width=20, height=20, color=[62, 129, 237]
x=42, y=819, width=20, height=20, color=[237, 173, 62]
x=42, y=840, width=20, height=20, color=[237, 173, 62]
x=42, y=861, width=20, height=20, color=[62, 237, 106]
x=63, y=0, width=20, height=20, color=[62, 237, 106]
x=63, y=21, width=20, height=20, color=[237, 173, 62]
x=63, y=42, width=20, height=20, color=[237, 173, 62]
x=63, y=63, width=20, height=20, color=[62, 129, 237]
x=63, y=84, width=20, height=20, color=[237, 173, 62]
x=63, y=105, width=20, height=20, color=[62, 129, 237]
x=63, y=126, width=20, height=20, color=[62, 237, 106]
x=63, y=147, width=20, height=20, color=[237, 173, 62]
x=63, y=168, width=20, height=20, color=[62, 237, 106]
x=63, y=189, width=20, height=20, color=[237, 173, 62]
x=63, y=210, width=20, height=20, color=[237, 173, 62]
x=63, y=231, width=20, height=20, color=[62, 129, 237]
x=63, y=252, width=20, height=20, color=[62, 129, 237]
x=63, y=273, width=20, height=20, color=[237, 173, 62]
x=63, y=294, width=20, height=20, color=[62, 129, 237]
x=63, y=315, width=20, height=20, color=[237, 173, 62]
x=63, y=336, width=20, height=20, color=[62, 237, 106]
x=63, y=357, width=20, height=20, color=[62, 237, 106]
