x,y,width,height,color
0,0,24,24,"[168, 118, 62, 66]"
0,25,24,24,"[168, 118, 62, 66]"
0,50,24,24,"[143, 219, 70, 86]"
0,75,24,24,"[73, 109, 250, 98]"
0,100,24,24,"[168, 118, 62, 66]"
0,125,24,24,"[143, 219, 70, 86]"
0,150,24,24,"[143, 219, 70, 86]"
0,175,24,24,"[168, 118, 62, 66]"
0,200,24,24,"[168, 118, 62, 66]"
0,225,24,24,"[168, 118, 62, 66]"
0,250,24,24,"[143, 219, 70, 86]"
0,275,24,24,"[168, 118, 62, 66]"
0,300,24,24,"[143, 219, 70, 86]"
0,325,24,24,"[73, 109, 250, 98]"
0,350,24,24,"[143, 219, 70, 86]"
0,375,24,24,"[168, 118, 62, 66]"
0,400,24,24,"[143, 219, 70, 86]"
0,425,24,24,"[73, 109, 250, 98]"
0,450,24,24,"[143, 219, 70, 86]"
0,475,24,24,"[73, 109, 250, 98]"
0,500,24,24,"[73, 109, 250, 98]"
0,525,24,24,"[143, 219, 70, 86]"
0,550,24,24,"[143, 219, 70, 86]"
0,575,24,24,"[143, 219, 70, 86]"
0,600,24,24,"[143, 219, 70, 86]"
0,625,24,24,"[73, 109, 250, 98]"
0,650,24,24,"[73, 109, 250, 98]"
0,675,24,24,"[73, 109, 250, 98]"
0,700,24,24,"[168, 118, 62, 66]"
0,725,24,24,"[168, 118, 62, 66]"
0,750,24,24,"[73, 109, 250, 98]"
0,775,24,24,"[73, 109, 250, 98]"
0,800,24,24,"[168, 118, 62, 66]"
0,825,24,24,"[73, 109, 250, 98]"
0,850,24,24,"[143, 219, 70, 86]"
0,875,24,24,"[168, 118, 62, 66]"
0,900,24,24,"[168, 118, 62, 66]"
0,925,24,24,"[73, 109, 250, 98]"
0,950,24,24,"[143, 219, 70, 86]"
0,975,24,24,"[143, 219, 70, 86]"
0,1000,24,24,"[73, 109, 250, 98]"
0,1025,24,24,"[73, 109, 250, 98]"
25,0,24,24,"[143, 219, 70, 86]"
25,25,24,24,"[73, 109, 250, 98]"
25,50,24,24,"[168, 118, 62, 66]"
25,75,24,24,"[73, 109, 250, 98]"
25,100,24,24,"[168, 118, 62, 66]"
25,125,24,24,"[168, 118, 62, 66]"
25,150,24,24,"[143, 219, 70, 86]"
25,175,24,24,"[73, 109, 250, 98]"
25,200,24,24,"[73, 109, 250, 98]"
25,225,24,24,"[143, 219, 70, 86]"
25,250,24,24,"[168, 118, 62, 66]"
25,275,24,24,"[168, 118, 62, 66]"
25,300,24,24,"[143, 219, 70, 86]"
25,325,24,24,"[73, 109, 250, 98]"
25,350,24,24,"[73, 109, 250, 98]"
25,375,24,24,"[143, 219, 70, 86]"
25,400,24,24,"[143, 219, 70, 86]"
25,425,24,24,"[73, 109, 250, 98]"
25,450,24,24,"[143, 219, 70, 86]"
25,475,24,24,"[143, 219, 70, 86]"
25,500,24,24,"[73, 109, 250, 98]"
25,525,24,24,"[143, 219, 70, 86]"
25,550,24,24,"[143, 219, 70, 86]"
25,575,24,24,"[168, 118, 62, 66]"
25,600,24,24,"[168, 118, 62, 66]"
25,625,24,24,"[168, 118, 62, 66]"
25,650,24,24,"[73, 109, 250, 98]"
25,675,24,24,"[168, 118, 62, 66]"
25,700,24,24,"[168, 118, 62, 66]"
25,725,24,24,"[73, 109, 250, 98]"
25,750,24,24,"[168, 118, 62, 66]"
25,775,24,24,"[168, 118, 62, 66]"
25,800,24,24,"[73, 109, 250, 98]"
25,825,24,24,"[143, 219, 70, 86]"
25,850,24,24,"[168, 118, 62, 66]"
25,875,24,24,"[73, 109, 250, 98]"
25,900,24,24,"[143, 219, 70, 86]"
25,925,24,24,"[143, 219, 70, 86]"
25,950,24,24,"[73, 109, 250, 98]"
25,975,24,24,"[168, 118, 62, 66]"
25,1000,24,24,"[73, 109, 250, 98]"
25,1025,24,24,"[168, 118, 62, 66]"
50,0,24,24,"[143, 219, 70, 86]"
50,25,24,24,"[73, 109, 250, 98]"
50,50,24,24,"[143, 219, 70, 86]"
50,75,24,24,"[143, 219, 70, 86]"
50,100,24,24,"[143, 219, 70, 86]"
50,125,24,24,"[168, 118, 62, 66]"
50,150,24,24,"[73, 109, 250, 98]"
50,175,24,24,"[168, 118, 62, 66]"
