x,y,width,height,color
0,0,24,24,"[143, 219, 70, 86]"
0,25,24,24,"[168, 118, 62, 66]"
0,50,24,24,"[73, 109, 250, 98]"
0,75,24,24,"[73, 109, 250, 98]"
0,100,24,24,"[143, 219, 70, 86]"
0,125,24,24,"[73, 109, 250, 98]"
0,150,24,24,"[143, 219, 70, 86]"
0,175,24,24,"[143, 219, 70, 86]"
0,200,24,24,"[143, 219, 70, 86]"
0,225,24,24,"[168, 118, 62, 66]"
0,250,24,24,"[73, 109, 250, 98]"
0,275,24,24,"[143, 219, 70, 86]"
0,300,24,24,"[143, 219, 70, 86]"
0,325,24,24,"[168, 118, 62, 66]"
0,350,24,24,"[168, 118, 62, 66]"
0,375,24,24,"[73, 109, 250, 98]"
0,400,24,24,"[168, 118, 62, 66]"
0,425,24,24,"[168, 118, 62, 66]"
0,450,24,24,"[168, 118, 62, 66]"
0,475,24,24,"[168, 118, 62, 66]"
0,500,24,24,"[168, 118, 62, 66]"
0,525,24,24,"[143, 219, 70, 86]"
0,550,24,24,"[168, 118, 62, 66]"
0,575,24,24,"[143, 219, 70, 86]"
0,600,24,24,"[143, 219, 70, 86]"
0,625,24,24,"[143, 219, 70, 86]"
0,650,24,24,"[143, 219, 70, 86]"
0,675,24,24,"[168, 118, 62, 66]"
0,700,24,24,"[143, 219, 70, 86]"
0,725,24,24,"[168, 118, 62, 66]"
0,750,24,24,"[168, 118, 62, 66]"
0,775,24,24,"[73, 109, 250, 98]"
0,800,24,24,"[73, 109, 250, 98]"
0,825,24,24,"[143, 219, 70, 86]"
0,850,24,24,"[168, 118, 62, 66]"
0,875,24,24,"[73, 109, 250, 98]"
0,900,24,24,"[73, 109, 250, 98]"
0,925,24,24,"[143, 219, 70, 86]"
0,950,24,24,"[143, 219, 70, 86]"
0,975,24,24,"[143, 219, 70, 86]"
0,1000,24,24,"[168, 118, 62, 66]"
0,1025,24,24,"[168, 118, 62, 66]"
25,0,24,24,"[168, 118, 62, 66]"
25,25,24,24,"[168, 118, 62, 66]"
25,50,24,24,"[168, 118, 62, 66]"
25,75,24,24,"[143, 219, 70, 86]"
25,100,24,24,"[143, 219, 70, 86]"
25,125,24,24,"[168, 118, 62, 66]"
25,150,24,24,"[73, 109, 250, 98]"
25,175,24,24,"[73, 109, 250, 98]"
25,200,24,24,"[168, 118, 62, 66]"
25,225,24,24,"[143, 219, 70, 86]"
25,250,24,24,"[73, 109, 250, 98]"
25,275,24,24,"[143, 219, 70, 86]"
25,300,24,24,"[168, 118, 62, 66]"
25,325,24,24,"[73, 109, 250, 98]"
25,350,24,24,"[143, 219, 70, 86]"
25,375,24,24,"[73, 109, 250, 98]"
25,400,24,24,"[73, 109, 250, 98]"
25,425,24,24,"[168, 118, 62, 66]"
25,450,24,24,"[143, 219, 70, 86]"
25,475,24,24,"[168, 118, 62, 66]"
25,500,24,24,"[168, 118, 62, 66]"
25,525,24,24,"[168, 118, 62, 66]"
25,550,24,24,"[168, 118, 62, 66]"
25,575,24,24,"[143, 219, 70, 86]"
25,600,24,24,"[143, 219, 70, 86]"
25,625,24,24,"[73, 109, 250, 98]"
25,650,24,24,"[143, 219, 70, 86]"
25,675,24,24,"[73, 109, 250, 98]"
25,700,24,24,"[168, 118, 62, 66]"
25,725,24,24,"[143, 219, 70, 86]"
25,750,24,24,"[143, 219, 70, 86]"
25,775,24,24,"[143, 219, 70, 86]"
25,800,24,24,"[73, 109, 250, 98]"
25,825,24,24,"[143, 219, 70, 86]"
25,850,24,24,"[143, 219, 70, 86]"
25,875,24,24,"[73, 109, 250, 98]"
25,900,24,24,"[73, 109, 250, 98]"
25,925,24,24,"[143, 219, 70, 86]"
25,950,24,24,"[73, 109, 250, 98]"
25,975,24,24,"[168, 118, 62, 66]"
25,1000,24,24,"[143, 219, 70, 86]"
25,1025,24,24,"[143, 219, 70, 86]"
50,0,24,24,"[143, 219, 70, 86]"
50,25,24,24,"[143, 219, 70, 86]"
50,50,24,24,"[73, 109, 250, 98]"
50,75,24,24,"[143, 219, 70, 86]"
50,100,24,24,"[73, 109, 250, 98]"
50,125,24,24,"[73, 109, 250, 98]"
50,150,24,24,"[143, 219, 70, 86]"
50,175,24,24,"[168, 118, 62, 66]"
50,200,24,24,"[168, 118, 62, 66]"
50,225,24,24,"[73, 109, 250, 98]"
50,250,24,24,"[168, 118, 62, 66]"
50,275,24,24,"[168, 118, 62, 66]"
50,300,24,24,"[73, 109, 250, 98]"
50,325,24,24,"[143, 219, 70, 86]"
50,350,24,24,"[168, 118, 62, 66]"
50,375,24,24,"[168, 118, 62, 66]"
50,400,24,24,"[168, 118, 62, 66]"
50,425,24,24,"[168, 118, 62, 66]"
50,450,24,24,"[143, 219, 70, 86]"
50,475,24,24,"[168, 118, 62, 66]"
50,500,24,24,"[143, 219, 70, 86]"
50,525,24,24,"[73, 109, 250, 98]"
50,550,24,24,"[73, 109, 250, 98]"
50,575,24,24,"[143, 219, 70, 86]"
50,600,24,24,"[168, 118, 62, 66]"
50,625,24,24,"[168, 118, 62, 66]"
50,650,24,24,"[143, 219, 70, 86]"
50,675,24,24,"[143, 219, 70, 86]"
50,700,24,24,"[73, 109, 250, 98]"
50,725,24,24,"[73, 109, 250, 98]"
50,750,24,24,"[73, 109, 250, 98]"
50,775,24,24,"[143, 219, 70, 86]"
50,800,24,24,"[168, 118, 62, 66]"
50,825,24,24,"[168, 118, 62, 66]"
50,850,24,24,"[73, 109, 250, 98]"
50,875,24,24,"[143, 219, 70, 86]"
50,900,24,24,"[73, 109, 250, 98]"
50,925,24,24,"[143, 219, 70, 86]"
50,950,24,24,"[143, 219, 70, 86]"
50,975,24,24,"[73, 109, 250, 98]"
50,1000,24,24,"[143, 219, 70, 86]"
50,1025,24,24,"[168, 118, 62, 66]"
75,0,24,24,"[168, 118, 62, 66]"
75,25,24,24,"[168, 118, 62, 66]"
75,50,24,24,"[73, 109, 250, 98]"
75,75,24,24,"[168, 118, 62, 66]"
75,100,24,24,"[73, 109, 250, 98]"
75,125,24,24,"[143, 219, 70, 86]"
75,150,24,24,"[143, 219, 70, 86]"
75,175,24,24,"[168, 118, 62, 66]"
75,200,24,24,"[73, 109, 250, 98]"
75,225,24,24,"[73, 109, 250, 98]"
75,250,24,24,"[143, 219, 70, 86]"
75,275,24,24,"[168, 118, 62, 66]"
75,300,24,24,"[143, 219, 70, 86]"
75,325,24,24,"[73, 109, 250, 98]"
75,350,24,24,"[73, 109, 250, 98]"
75,375,24,24,"[143, 219, 70, 86]"
75,400,24,24,"[143, 219, 70, 86]"
75,425,24,24,"[73, 109, 250, 98]"
75,450,24,24,"[73, 109, 250, 98]"
75,475,24,24,"[143, 219, 70, 86]"
75,500,24,24,"[143, 219, 70, 86]"
75,525,24,24,"[143, 219, 70, 86]"
75,550,24,24,"[168, 118, 62, 66]"
75,575,24,24,"[73, 109, 250, 98]"
75,600,24,24,"[168, 118, 62, 66]"
75,625,24,24,"[73, 109, 250, 98]"
75,650,24,24,"[168, 118, 62, 66]"
75,675,24,24,"[73, 109, 250, 98]"
75,700,24,24,"[168, 118, 62, 66]"
75,725,24,24,"[73, 109, 250, 98]"
75,750,24,24,"[73, 109, 250, 98]"
75,775,24,24,"[168, 118, 62, 66]"
75,800,24,24,"[73, 109, 250, 98]"
75,825,24,24,"[143, 219, 70, 86]"
75,850,24,24,"[73, 109, 250, 98]"
75,875,24,24,"[168, 118, 62, 66]"
75,900,24,24,"[143, 219, 70, 86]"
75,925,24,24,"[168, 118, 62, 66]"
75,950,24,24,"[168, 118, 62, 66]"
75,975,24,24,"[73, 109, 250, 98]"
75,1000,24,24,"[143, 219, 70, 86]"
75,1025,24,24,"[73, 109, 250, 98]"
100,0,24,24,"[73, 109, 250, 98]"
100,25,24,24,"[143, 219, 70, 86]"
100,50,24,24,"[143, 219, 70, 86]"
100,75,24,24,"[73, 109, 250, 98]"
100,100,24,24,"[143, 219, 70, 86]"
100,125,24,24,"[143, 219, 70, 86]"
100,150,24,24,"[73, 109, 250, 98]"
100,175,24,24,"[168, 118, 62, 66]"
100,200,24,24,"[73, 109, 250, 98]"
100,225,24,24,"[73, 109, 250, 98]"
100,250,24,24,"[73, 109, 250, 98]"
100,275,24,24,"[143, 219, 70, 86]"
100,300,24,24,"[143, 219, 70, 86]"
100,325,24,24,"[143, 219, 70, 86]"
100,350,24,24,"[73, 109, 250, 98]"
100,375,24,24,"[73, 109, 250, 98]"
100,400,24,24,"[143, 219, 70, 86]"
100,425,24,24,"[143, 219, 70, 86]"
100,450,24,24,"[73, 109, 250, 98]"
100,475,24,24,"[168, 118, 62, 66]"
100,500,24,24,"[168, 118, 62, 66]"
100,525,24,24,"[143, 219, 70, 86]"
100,550,24,24,"[73, 109, 250, 98]"
100,575,24,24,"[143, 219, 70, 86]"
100,600,24,24,"[143, 219, 70, 86]"
100,625,24,24,"[168, 118, 62, 66]"
100,650,24,24,"[168, 118, 62, 66]"
100,675,24,24,"[143, 219, 70, 86]"
100,700,24,24,"[73, 109, 250, 98]"
100,725,24,24,"[168, 118, 62, 66]"
100,750,24,24,"[143, 219, 70, 86]"
100,775,24,24,"[73, 109, 250, 98]"
100,800,24,24,"[143, 219, 70, 86]"
100,825,24,24,"[168, 118, 62, 66]"
100,850,24,24,"[143, 219, 70, 86]"
100,875,24,24,"[73, 109, 250, 98]"
100,900,24,24,"[168, 118, 62, 66]"
100,925,24,24,"[143, 219, 70, 86]"
100,950,24,24,"[73, 109, 250, 98]"
100,975,24,24,"[168, 118, 62, 66]"
100,1000,24,24,"[168, 118, 62, 66]"
100,1025,24,24,"[168, 118, 62, 66]"
125,0,24,24,"[168, 118, 62, 66]"
