x,y,width,height,color
0,0,20,20,"(143, 219, 70, 255)"
0,21,20,20,"(168, 118, 62, 255)"
0,42,20,20,"(143, 219, 70, 255)"
0,63,20,20,"(143, 219, 70, 255)"
0,84,20,20,"(143, 219, 70, 255)"
0,105,20,20,"(143, 219, 70, 255)"
0,126,20,20,"(143, 219, 70, 255)"
0,147,20,20,"(143, 219, 70, 255)"
0,168,20,20,"(143, 219, 70, 255)"
0,189,20,20,"(143, 219, 70, 255)"
0,210,20,20,"(143, 219, 70, 255)"
0,231,20,20,"(143, 219, 70, 255)"
0,252,20,20,"(168, 118, 62, 255)"
0,273,20,20,"(73, 109, 250, 255)"
0,294,20,20,"(73, 109, 250, 255)"
0,315,20,20,"(73, 109, 250, 255)"
0,336,20,20,"(73, 109, 250, 255)"
0,357,20,20,"(73, 109, 250, 255)"
0,378,20,20,"(143, 219, 70, 255)"
0,399,20,20,"(168, 118, 62, 255)"
0,420,20,20,"(143, 219, 70, 255)"
0,441,20,20,"(168, 118, 62, 255)"
0,462,20,20,"(143, 219, 70, 255)"
0,483,20,20,"(143, 219, 70, 255)"
0,504,20,20,"(143, 219, 70, 255)"
0,525,20,20,"(143, 219, 70, 255)"
0,546,20,20,"(143, 219, 70, 255)"
0,567,20,20,"(73, 109, 250, 255)"
0,588,20,20,"(73, 109, 250, 255)"
0,609,20,20,"(73, 109, 250, 255)"
0,630,20,20,"(73, 109, 250, 255)"
0,651,20,20,"(73, 109, 250, 255)"
0,672,20,20,"(143, 219, 70, 255)"
0,693,20,20,"(143, 219, 70, 255)"
0,714,20,20,"(143, 219, 70, 255)"
0,735,20,20,"(143, 219, 70, 255)"
0,756,20,20,"(73, 109, 250, 255)"
0,777,20,20,"(73, 109, 250, 255)"
0,798,20,20,"(73, 109, 250, 255)"
0,819,20,20,"(73, 109, 250, 255)"
0,840,20,20,"(73, 109, 250, 255)"
0,861,20,20,"(73, 109, 250, 255)"
21,0,20,20,"(143, 219, 70, 255)"
21,21,20,20,"(143, 219, 70, 255)"
21,42,20,20,"(143, 219, 70, 255)"
21,63,20,20,"(168, 118, 62, 255)"
21,84,20,20,"(168, 118, 62, 255)"
21,105,20,20,"(168, 118, 62, 255)"
21,126,20,20,"(168, 118, 62, 255)"
21,147,20,20,"(143, 219, 70, 255)"
21,168,20,20,"(168, 118, 62, 255)"
21,189,20,20,"(168, 118, 62, 255)"
21,210,20,20,"(143, 219, 70, 255)"
21,231,20,20,"(143, 219, 70, 255)"
21,252,20,20,"(168, 118, 62, 255)"
21,273,20,20,"(73, 109, 250, 255)"
21,294,20,20,"(73, 109, 250, 255)"
21,315,20,20,"(73, 109, 250, 255)"
21,336,20,20,"(73, 109, 250, 255)"
21,357,20,20,"(73, 109, 250, 255)"
21,378,20,20,"(143, 219, 70, 255)"
21,399,20,20,"(168, 118, 62, 255)"
21,420,20,20,"(143, 219, 70, 255)"
21,441,20,20,"(168, 118, 62, 255)"
21,462,20,20,"(143, 219, 70, 255)"
21,483,20,20,"(168, 118, 62, 255)"
21,504,20,20,"(168, 118, 62, 255)"
21,525,20,20,"(168, 118, 62, 255)"
21,546,20,20,"(143, 219, 70, 255)"
21,567,20,20,"(143, 219, 70, 255)"
21,588,20,20,"(143, 219, 70, 255)"
21,609,20,20,"(73, 109, 250, 255)"
21,630,20,20,"(73, 109, 250, 255)"
21,651,20,20,"(73, 109, 250, 255)"
21,672,20,20,"(73, 109, 250, 255)"
21,693,20,20,"(143, 219, 70, 255)"
21,714,20,20,"(143, 219, 70, 255)"
21,735,20,20,"(73, 109, 250, 255)"
21,756,20,20,"(73, 109, 250, 255)"
21,777,20,20,"(73, 109, 250, 255)"
21,798,20,20,"(73, 109, 250, 255)"
21,819,20,20,"(73, 109, 250, 255)"
21,840,20,20,"(143, 219, 70, 255)"
21,861,20,20,"(143, 219, 70, 255)"
42,0,20,20,"(143, 219, 70, 255)"
42,21,20,20,"(168, 118, 62, 255)"
42,42,20,20,"(143, 219, 70, 255)"
42,63,20,20,"(168, 118, 62, 255)"
42,84,20,20,"(143, 219, 70, 255)"
42,105,20,20,"(143, 219, 70, 255)"
42,126,20,20,"(168, 118, 62, 255)"
42,147,20,20,"(143, 219, 70, 255)"
42,168,20,20,"(143, 219, 70, 255)"
42,189,20,20,"(168, 118, 62, 255)"
42,210,20,20,"(143, 219, 70, 255)"
42,231,20,20,"(168, 118, 62, 255)"
42,252,20,20,"(73, 109, 250, 255)"
42,273,20,20,"(73, 109, 250, 255)"
42,294,20,20,"(73, 109, 250, 255)"
42,315,20,20,"(73, 109, 250, 255)"
42,336,20,20,"(73, 109, 250, 255)"
42,357,20,20,"(143, 219, 70, 255)"
42,378,20,20,"(168, 118, 62, 255)"
42,399,20,20,"(168, 118, 62, 255)"
42,420,20,20,"(143, 219, 70, 255)"
42,441,20,20,"(143, 219, 70, 255)"
42,462,20,20,"(143, 219, 70, 255)"
42,483,20,20,"(168, 118, 62, 255)"
42,504,20,20,"(143, 219, 70, 255)"
42,525,20,20,"(143, 219, 70, 255)"
42,546,20,20,"(143, 219, 70, 255)"
42,567,20,20,"(168, 118, 62, 255)"
42,588,20,20,"(168, 118, 62, 255)"
42,609,20,20,"(73, 109, 250, 255)"
42,630,20,20,"(73, 109, 250, 255)"
42,651,20,20,"(73, 109, 250, 255)"
42,672,20,20,"(73, 109, 250, 255)"
42,693,20,20,"(168, 118, 62, 255)"
42,714,20,20,"(168, 118, 62, 255)"
42,735,20,20,"(73, 109, 250, 255)"
42,756,20,20,"(73, 109, 250, 255)"
42,777,20,20,"(73, 109, 250, 255)"
42,798,20,20,"(73, 109, 250, 255)"
42,819,20,20,"(73, 109, 250, 255)"
42,840,20,20,"(143, 219, 70, 255)"
42,861,20,20,"(168, 118, 62, 255)"
63,0,20,20,"(143, 219, 70, 255)"
63,21,20,20,"(168, 118, 62, 255)"
63,42,20,20,"(143, 219, 70, 255)"
63,63,20,20,"(168, 118, 62, 255)"
63,84,20,20,"(143, 219, 70, 255)"
63,105,20,20,"(143, 219, 70, 255)"
63,126,20,20,"(143, 219, 70, 255)"
63,147,20,20,"(143, 219, 70, 255)"
63,168,20,20,"(143, 219, 70, 255)"
63,189,20,20,"(168, 118, 62, 255)"
63,210,20,20,"(168, 118, 62, 255)"
63,231,20,20,"(168, 118, 62, 255)"
63,252,20,20,"(73, 109, 250, 255)"
63,273,20,20,"(73, 109, 250, 255)"
63,294,20,20,"(73, 109, 250, 255)"
63,315,20,20,"(73, 109, 250, 255)"
63,336,20,20,"(168, 118, 62, 255)"
63,357,20,20,"(168, 118, 62, 255)"
63,378,20,20,"(168, 118, 62, 255)"
63,399,20,20,"(143, 219, 70, 255)"
63,420,20,20,"(143, 219, 70, 255)"
63,441,20,20,"(168, 118, 62, 255)"
63,462,20,20,"(143, 219, 70, 255)"
63,483,20,20,"(168, 118, 62, 255)"
63,504,20,20,"(143, 219, 70, 255)"
63,525,20,20,"(143, 219, 70, 255)"
63,546,20,20,"(143, 219, 70, 255)"
63,567,20,20,"(143, 219, 70, 255)"
63,588,20,20,"(143, 219, 70, 255)"
63,609,20,20,"(143, 219, 70, 255)"
63,630,20,20,"(143, 219, 70, 255)"
63,651,20,20,"(73, 109, 250, 255)"
63,672,20,20,"(73, 109, 250, 255)"
63,693,20,20,"(73, 109, 250, 255)"
63,714,20,20,"(73, 109, 250, 255)"
63,735,20,20,"(73, 109, 250, 255)"
63,756,20,20,"(73, 109, 250, 255)"
63,777,20,20,"(73, 109, 250, 255)"
63,798,20,20,"(143, 219, 70, 255)"
63,819,20,20,"(143, 219, 70, 255)"
63,840,20,20,"(143, 219, 70, 255)"
63,861,20,20,"(168, 118, 62, 255)"
84,0,20,20,"(143, 219, 70, 255)"
84,21,20,20,"(168, 118, 62, 255)"
84,42,20,20,"(143, 219, 70, 255)"
84,63,20,20,"(168, 118, 62, 255)"
84,84,20,20,"(168, 118, 62, 255)"
84,105,20,20,"(168, 118, 62, 255)"
84,126,20,20,"(168, 118, 62, 255)"
84,147,20,20,"(168, 118, 62, 255)"
84,168,20,20,"(168, 118, 62, 255)"
84,189,20,20,"(168, 118, 62, 255)"
84,210,20,20,"(143, 219, 70, 255)"
84,231,20,20,"(73, 109, 250, 255)"
84,252,20,20,"(73, 109, 250, 255)"
84,273,20,20,"(73, 109, 250, 255)"
84,294,20,20,"(73, 109, 250, 255)"
84,315,20,20,"(73, 109, 250, 255)"
84,336,20,20,"(143, 219, 70, 255)"
84,357,20,20,"(143, 219, 70, 255)"
84,378,20,20,"(143, 219, 70, 255)"
84,399,20,20,"(143, 219, 70, 255)"
84,420,20,20,"(143, 219, 70, 255)"
84,441,20,20,"(168, 118, 62, 255)"
84,462,20,20,"(168, 118, 62, 255)"
84,483,20,20,"(168, 118, 62, 255)"
84,504,20,20,"(143, 219, 70, 255)"
84,525,20,20,"(168, 118, 62, 255)"
84,546,20,20,"(168, 118, 62, 255)"
84,567,20,20,"(168, 118, 62, 255)"
84,588,20,20,"(168, 118, 62, 255)"
84,609,20,20,"(143, 219, 70, 255)"
84,630,20,20,"(168, 118, 62, 255)"
84,651,20,20,"(73, 109, 250, 255)"
84,672,20,20,"(73, 109, 250, 255)"
84,693,20,20,"(73, 109, 250, 255)"
84,714,20,20,"(73, 109, 250, 255)"
84,735,20,20,"(73, 109, 250, 255)"
84,756,20,20,"(73, 109, 250, 255)"
84,777,20,20,"(73, 109, 250, 255)"
84,798,20,20,"(143, 219, 70, 255)"
84,819,20,20,"(168, 118, 62, 255)"
84,840,20,20,"(143, 219, 70, 255)"
