x,y,width,height,color
0,0,20,20,"[73, 109, 250, 98]"
0,21,20,20,"[143, 219, 70, 86]"
0,42,20,20,"[168, 118, 62, 66]"
0,63,20,20,"[143, 219, 70, 86]"
0,84,20,20,"[73, 109, 250, 98]"
0,105,20,20,"[143, 219, 70, 86]"
0,126,20,20,"[73, 109, 250, 98]"
0,147,20,20,"[143, 219, 70, 86]"
0,168,20,20,"[168, 118, 62, 66]"
0,189,20,20,"[73, 109, 250, 98]"
0,210,20,20,"[73, 109, 250, 98]"
0,231,20,20,"[73, 109, 250, 98]"
0,252,20,20,"[73, 109, 250, 98]"
0,273,20,20,"[73, 109, 250, 98]"
0,294,20,20,"[73, 109, 250, 98]"
0,315,20,20,"[73, 109, 250, 98]"
0,336,20,20,"[73, 109, 250, 98]"
0,357,20,20,"[143, 219, 70, 86]"
0,378,20,20,"[73, 109, 250, 98]"
0,399,20,20,"[168, 118, 62, 66]"
0,420,20,20,"[73, 109, 250, 98]"
0,441,20,20,"[143, 219, 70, 86]"
0,462,20,20,"[73, 109, 250, 98]"
0,483,20,20,"[143, 219, 70, 86]"
0,504,20,20,"[168, 118, 62, 66]"
0,525,20,20,"[168, 118, 62, 66]"
0,546,20,20,"[73, 109, 250, 98]"
0,567,20,20,"[168, 118, 62, 66]"
0,588,20,20,"[143, 219, 70, 86]"
0,609,20,20,"[168, 118, 62, 66]"
0,630,20,20,"[143, 219, 70, 86]"
0,651,20,20,"[168, 118, 62, 66]"
0,672,20,20,"[143, 219, 70, 86]"
0,693,20,20,"[168, 118, 62, 66]"
0,714,20,20,"[73, 109, 250, 98]"
0,735,20,20,"[168, 118, 62, 66]"
0,756,20,20,"[143, 219, 70, 86]"
0,777,20,20,"[143, 219, 70, 86]"
0,798,20,20,"[73, 109, 250, 98]"
0,819,20,20,"[168, 118, 62, 66]"
0,840,20,20,"[168, 118, 62, 66]"
0,861,20,20,"[73, 109, 250, 98]"
21,0,20,20,"[143, 219, 70, 86]"
21,21,20,20,"[73, 109, 250, 98]"
21,42,20,20,"[73, 109, 250, 98]"
21,63,20,20,"[143, 219, 70, 86]"
21,84,20,20,"[168, 118, 62, 66]"
21,105,20,20,"[73, 109, 250, 98]"
21,126,20,20,"[168, 118, 62, 66]"
21,147,20,20,"[73, 109, 250, 98]"
21,168,20,20,"[168, 118, 62, 66]"
21,189,20,20,"[168, 118, 62, 66]"
21,210,20,20,"[73, 109, 250, 98]"
21,231,20,20,"[73, 109, 250, 98]"
21,252,20,20,"[143, 219, 70, 86]"
21,273,20,20,"[73, 109, 250, 98]"
21,294,20,20,"[168, 118, 62, 66]"
21,315,20,20,"[143, 219, 70, 86]"
21,336,20,20,"[73, 109, 250, 98]"
21,357,20,20,"[168, 118, 62, 66]"
21,378,20,20,"[168, 118, 62, 66]"
21,399,20,20,"[143, 219, 70, 86]"
21,420,20,20,"[143, 219, 70, 86]"
21,441,20,20,"[168, 118, 62, 66]"
21,462,20,20,"[73, 109, 250, 98]"
21,483,20,20,"[73, 109, 250, 98]"
21,504,20,20,"[168, 118, 62, 66]"
21,525,20,20,"[73, 109, 250, 98]"
21,546,20,20,"[168, 118, 62, 66]"
21,567,20,20,"[143, 219, 70, 86]"
21,588,20,20,"[143, 219, 70, 86]"
21,609,20,20,"[168, 118, 62, 66]"
21,630,20,20,"[143, 219, 70, 86]"
21,651,20,20,"[168, 118, 62, 66]"
21,672,20,20,"[73, 109, 250, 98]"
21,693,20,20,"[168, 118, 62, 66]"
21,714,20,20,"[168, 118, 62, 66]"
21,735,20,20,"[168, 118, 62, 66]"
21,756,20,20,"[73, 109, 250, 98]"
21,777,20,20,"[168, 118, 62, 66]"
21,798,20,20,"[168, 118, 62, 66]"
21,819,20,20,"[168, 118, 62, 66]"
21,840,20,20,"[168, 118, 62, 66]"
21,861,20,20,"[168, 118, 62, 66]"
42,0,20,20,"[73, 109, 250, 98]"
42,21,20,20,"[143, 219, 70, 86]"
42,42,20,20,"[143, 219, 70, 86]"
42,63,20,20,"[143, 219, 70, 86]"
42,84,20,20,"[168, 118, 62, 66]"
42,105,20,20,"[143, 219, 70, 86]"
42,126,20,20,"[143, 219, 70, 86]"
42,147,20,20,"[143, 219, 70, 86]"
42,168,20,20,"[168, 118, 62, 66]"
42,189,20,20,"[73, 109, 250, 98]"
42,210,20,20,"[168, 118, 62, 66]"
42,231,20,20,"[168, 118, 62, 66]"
42,252,20,20,"[73, 109, 250, 98]"
42,273,20,20,"[168, 118, 62, 66]"
42,294,20,20,"[143, 219, 70, 86]"
42,315,20,20,"[73, 109, 250, 98]"
42,336,20,20,"[73, 109, 250, 98]"
42,357,20,20,"[73, 109, 250, 98]"
42,378,20,20,"[168, 118, 62, 66]"
42,399,20,20,"[143, 219, 70, 86]"
42,420,20,20,"[73, 109, 250, 98]"
42,441,20,20,"[73, 109, 250, 98]"
42,462,20,20,"[168, 118, 62, 66]"
42,483,20,20,"[143, 219, 70, 86]"
42,504,20,20,"[143, 219, 70, 86]"
42,525,20,20,"[73, 109, 250, 98]"
42,546,20,20,"[143, 219, 70, 86]"
42,567,20,20,"[73, 109, 250, 98]"
42,588,20,20,"[168, 118, 62, 66]"
42,609,20,20,"[143, 219, 70, 86]"
42,630,20,20,"[168, 118, 62, 66]"
42,651,20,20,"[143, 219, 70, 86]"
42,672,20,20,"[73, 109, 250, 98]"
42,693,20,20,"[143, 219, 70, 86]"
42,714,20,20,"[143, 219, 70, 86]"
42,735,20,20,"[143, 219, 70, 86]"
42,756,20,20,"[73, 109, 250, 98]"
42,777,20,20,"[143, 219, 70, 86]"
42,798,20,20,"[143, 219, 70, 86]"
42,819,20,20,"[143, 219, 70, 86]"
42,840,20,20,"[168, 118, 62, 66]"
42,861,20,20,"[73, 109, 250, 98]"
63,0,20,20,"[168, 118, 62, 66]"
63,21,20,20,"[168, 118, 62, 66]"
63,42,20,20,"[143, 219, 70, 86]"
63,63,20,20,"[73, 109, 250, 98]"
63,84,20,20,"[143, 219, 70, 86]"
63,105,20,20,"[168, 118, 62, 66]"
63,126,20,20,"[143, 219, 70, 86]"
63,147,20,20,"[168, 118, 62, 66]"
63,168,20,20,"[143, 219, 70, 86]"
63,189,20,20,"[168, 118, 62, 66]"
63,210,20,20,"[143, 219, 70, 86]"
63,231,20,20,"[73, 109, 250, 98]"
63,252,20,20,"[73, 109, 250, 98]"
63,273,20,20,"[143, 219, 70, 86]"
63,294,20,20,"[143, 219, 70, 86]"
63,315,20,20,"[168, 118, 62, 66]"
63,336,20,20,"[168, 118, 62, 66]"
63,357,20,20,"[73, 109, 250, 98]"
63,378,20,20,"[73, 109, 250, 98]"
63,399,20,20,"[168, 118, 62, 66]"
63,420,20,20,"[143, 219, 70, 86]"
63,441,20,20,"[73, 109, 250, 98]"
63,462,20,20,"[73, 109, 250, 98]"
63,483,20,20,"[168, 118, 62, 66]"
