x,y,width,height,color
0,0,20,20,"[237, 173, 62]"
0,21,20,20,"[75, 77, 255]"
0,42,20,20,"[75, 77, 255]"
0,63,20,20,"[129, 209, 75, 82]"
0,84,20,20,"[129, 209, 75, 82]"
0,105,20,20,"[237, 173, 62]"
0,126,20,20,"[237, 173, 62]"
0,147,20,20,"[129, 209, 75, 82]"
0,168,20,20,"[129, 209, 75, 82]"
0,189,20,20,"[75, 77, 255]"
0,210,20,20,"[75, 77, 255]"
0,231,20,20,"[75, 77, 255]"
0,252,20,20,"[129, 209, 75, 82]"
0,273,20,20,"[129, 209, 75, 82]"
0,294,20,20,"[237, 173, 62]"
0,315,20,20,"[237, 173, 62]"
0,336,20,20,"[129, 209, 75, 82]"
0,357,20,20,"[237, 173, 62]"
0,378,20,20,"[129, 209, 75, 82]"
0,399,20,20,"[75, 77, 255]"
0,420,20,20,"[75, 77, 255]"
0,441,20,20,"[237, 173, 62]"
0,462,20,20,"[129, 209, 75, 82]"
0,483,20,20,"[129, 209, 75, 82]"
0,504,20,20,"[237, 173, 62]"
0,525,20,20,"[129, 209, 75, 82]"
0,546,20,20,"[237, 173, 62]"
0,567,20,20,"[129, 209, 75, 82]"
0,588,20,20,"[129, 209, 75, 82]"
0,609,20,20,"[129, 209, 75, 82]"
0,630,20,20,"[237, 173, 62]"
0,651,20,20,"[237, 173, 62]"
0,672,20,20,"[129, 209, 75, 82]"
0,693,20,20,"[129, 209, 75, 82]"
0,714,20,20,"[237, 173, 62]"
0,735,20,20,"[75, 77, 255]"
0,756,20,20,"[129, 209, 75, 82]"
0,777,20,20,"[75, 77, 255]"
0,798,20,20,"[75, 77, 255]"
0,819,20,20,"[237, 173, 62]"
0,840,20,20,"[129, 209, 75, 82]"
0,861,20,20,"[75, 77, 255]"
21,0,20,20,"[75, 77, 255]"
21,21,20,20,"[75, 77, 255]"
21,42,20,20,"[237, 173, 62]"
21,63,20,20,"[75, 77, 255]"
21,84,20,20,"[237, 173, 62]"
21,105,20,20,"[129, 209, 75, 82]"
21,126,20,20,"[237, 173, 62]"
21,147,20,20,"[129, 209, 75, 82]"
21,168,20,20,"[237, 173, 62]"
21,189,20,20,"[75, 77, 255]"
21,210,20,20,"[237, 173, 62]"
21,231,20,20,"[237, 173, 62]"
21,252,20,20,"[237, 173, 62]"
21,273,20,20,"[237, 173, 62]"
21,294,20,20,"[237, 173, 62]"
21,315,20,20,"[129, 209, 75, 82]"
21,336,20,20,"[129, 209, 75, 82]"
21,357,20,20,"[75, 77, 255]"
21,378,20,20,"[75, 77, 255]"
21,399,20,20,"[237, 173, 62]"
21,420,20,20,"[75, 77, 255]"
21,441,20,20,"[75, 77, 255]"
